Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
309,20/09/2023,10/4/2023,MHPU010086342023,29/03/2023,02/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
310,30/07/2023,12/12/2023,MHPU010112742023,05/07/2024,12/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
311,28/10/2023,7/27/2023,MHPU010064392023,29/08/2024,24/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
312,07/12/2023,5/7/2023,MHPU010176002023,22/02/2024,03/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
313,05/09/2023,11/26/2023,MHPU010064392023,08/02/2024,21/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
314,15/12/2023,4/10/2023,MHPU010074592023,25/02/2023,21/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
315,14/02/2023,11/2/2023,MHPU010064392023,22/04/2024,21/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
316,16/04/2023,7/28/2023,MHPU010063022023,13/10/2023,17/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
317,20/01/2023,10/24/2023,MHPU010000532023,12/01/2024,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
318,29/06/2023,6/30/2023,MHPU010074592023,27/06/2023,23/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
319,15/09/2023,4/3/2023,MHPU010043232023,17/02/2023,04/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
320,02/07/2023,11/2/2023,MHPU010074592023,30/03/2023,14/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
321,06/05/2023,9/30/2023,MHPU010135842023,22/01/2023,22/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
322,01/06/2023,12/24/2023,MHPU010064392023,31/12/2023,27/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
323,24/03/2023,10/19/2023,MHPU010063022023,13/03/2024,08/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
324,03/03/2023,10/17/2023,MHPU010000532023,03/10/2023,22/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
325,28/02/2023,8/6/2023,MHPU010000532023,28/04/2024,31/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
326,23/01/2023,3/16/2023,MHPU010060312023,11/09/2024,16/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
327,23/04/2023,11/1/2023,MHPU010074592023,11/07/2024,25/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
328,16/08/2023,4/17/2023,MHPU010064392023,08/02/2024,19/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
329,06/07/2023,6/21/2023,MHPU010135842023,16/03/2024,26/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
330,06/01/2023,1/26/2023,MHPU010258492022,06/04/2024,23/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
331,22/04/2023,12/17/2023,MHPU010060312023,28/01/2024,18/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
332,13/03/2023,11/20/2023,MHPU010064392023,22/08/2024,28/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
333,06/11/2023,1/25/2023,MHPU010170062023,27/04/2023,21/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
334,22/11/2023,3/6/2023,MHPU010135842023,01/04/2024,02/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
335,18/09/2023,8/18/2023,MHPU010176002023,21/01/2024,09/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
336,29/12/2023,3/17/2023,MHPU010043232023,07/10/2023,21/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
337,24/07/2023,2/21/2023,MHPU010155972023,06/11/2023,09/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
338,19/09/2023,9/17/2023,MHPU010064392023,19/04/2024,17/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
339,29/12/2023,4/29/2023,MHPU010000532023,02/01/2023,26/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
340,01/08/2023,5/28/2023,MHPU010112742023,13/08/2023,27/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
341,05/12/2023,5/20/2023,MHPU010155972023,18/11/2023,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
342,17/12/2023,8/23/2023,MHPU010063022023,04/05/2024,04/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
343,13/10/2023,7/15/2023,MHPU010043232023,21/07/2023,18/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
344,23/07/2023,8/14/2023,MHPU010112742023,23/04/2023,17/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
345,06/06/2023,2/24/2023,MHPU010060312023,20/07/2023,28/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
346,23/09/2023,5/4/2023,MHPU010064392023,17/06/2024,08/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
347,11/04/2023,2/20/2023,MHPU010000532023,13/08/2024,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
348,27/02/2023,3/29/2023,MHPU010135842023,02/08/2023,24/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
349,23/12/2023,8/10/2023,MHPU010155972023,06/07/2024,24/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
350,28/04/2023,1/3/2023,MHPU010064392023,25/03/2024,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
351,21/12/2023,7/9/2023,MHPU010155972023,28/02/2024,10/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
352,02/03/2023,3/6/2023,MHPU010170062023,12/12/2023,21/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
353,05/11/2023,10/23/2023,MHPU010101462023,23/01/2023,01/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
354,21/09/2023,10/12/2023,MHPU010258492022,01/09/2024,30/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
355,30/10/2023,2/17/2023,MHPU010176002023,14/02/2023,19/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
356,27/08/2023,4/20/2023,MHPU010135842023,18/06/2024,12/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
357,20/08/2023,7/25/2023,MHPU010176002023,06/01/2024,18/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,166
358,12/02/2023,11/2/2023,MHPU010101462023,13/10/2023,05/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
359,21/10/2023,10/8/2023,MHPU010112742023,02/12/2023,27/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
360,18/04/2023,3/18/2023,MHPU010086342023,31/12/2023,18/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
361,14/09/2023,5/13/2023,MHPU010258492022,02/09/2024,24/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
362,19/08/2023,6/25/2023,MHPU010074592023,26/12/2023,12/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
363,28/12/2023,6/11/2023,MHPU010170062023,24/10/2023,22/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
364,29/04/2023,4/12/2023,MHPU010000532023,13/01/2024,02/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
365,19/10/2023,7/9/2023,MHPU010176002023,07/01/2024,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
366,16/01/2023,2/26/2023,MHPU010064392023,06/02/2024,06/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
367,25/06/2023,3/6/2023,MHPU010170062023,30/05/2024,02/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
368,20/07/2023,5/21/2023,MHPU010170062023,06/12/2023,30/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
369,12/01/2023,7/22/2023,MHPU010135842023,31/12/2023,24/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
370,05/12/2023,12/14/2023,MHPU010135842023,27/03/2024,12/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
371,29/04/2023,6/20/2023,MHPU010176002023,27/05/2024,07/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
372,22/05/2023,12/7/2023,MHPU010043232023,20/10/2023,10/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
373,28/05/2023,2/5/2023,MHPU010170062023,04/06/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
374,06/11/2023,3/15/2023,MHPU010135842023,22/06/2024,30/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
375,28/10/2023,3/12/2023,MHPU010135842023,09/03/2024,17/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
376,14/12/2023,1/31/2023,MHPU010112742023,04/02/2023,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
377,21/09/2023,12/25/2023,MHPU010000532023,13/05/2024,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
378,19/06/2023,8/14/2023,MHPU010064392023,04/08/2023,12/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
379,06/04/2023,4/2/2023,MHPU010074592023,31/07/2024,12/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
380,21/03/2023,7/10/2023,MHPU010112742023,06/09/2023,17/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
381,23/07/2023,9/10/2023,MHPU010155972023,15/01/2024,05/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
382,09/05/2023,8/22/2023,MHPU010064392023,04/06/2023,01/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
383,18/03/2023,12/3/2023,MHPU010060312023,14/05/2023,21/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
384,29/08/2023,11/4/2023,MHPU010155972023,25/05/2024,17/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
385,03/02/2023,10/6/2023,MHPU010170062023,13/05/2024,24/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
386,05/06/2023,4/12/2023,MHPU010000532023,15/04/2024,25/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
387,23/12/2023,4/4/2023,MHPU010064392023,19/07/2024,27/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
388,12/07/2023,11/25/2023,MHPU010135842023,16/04/2023,20/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
389,08/09/2023,8/19/2023,MHPU010074592023,08/10/2023,27/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
390,25/08/2023,4/2/2023,MHPU010258492022,08/04/2024,28/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
391,21/06/2023,6/13/2023,MHPU010063022023,31/03/2024,01/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
392,27/01/2023,5/16/2023,MHPU010135842023,08/12/2023,26/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
393,10/10/2023,11/11/2023,MHPU010063022023,07/06/2024,16/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
394,18/12/2023,9/6/2023,MHPU010064392023,15/05/2024,25/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
395,21/07/2023,10/30/2023,MHPU010135842023,13/09/2023,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
396,06/03/2023,2/25/2023,MHPU010176002023,23/01/2023,02/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
397,29/08/2023,7/3/2023,MHPU010000532023,01/05/2023,29/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
398,22/04/2023,10/22/2023,MHPU010064392023,03/01/2023,26/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
399,05/02/2023,12/1/2023,MHPU010060312023,18/07/2024,14/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
400,08/12/2023,9/26/2023,MHPU010155972023,05/06/2024,05/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
401,01/09/2023,6/8/2023,MHPU010101462023,19/05/2023,16/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
402,09/07/2023,1/11/2023,MHPU010155972023,08/07/2023,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
403,29/03/2023,7/22/2023,MHPU010170062023,12/02/2024,20/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
404,13/07/2023,3/7/2023,MHPU010135842023,10/12/2023,26/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
405,16/06/2023,7/12/2023,MHPU010101462023,11/06/2024,22/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
406,13/01/2023,5/8/2023,MHPU010086342023,28/04/2023,12/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
407,06/05/2023,10/3/2023,MHPU010063022023,29/07/2023,27/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
408,10/10/2023,9/16/2023,MHPU010063022023,19/07/2023,04/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
409,12/07/2023,3/3/2023,MHPU010043232023,05/12/2023,24/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
410,29/01/2023,3/4/2023,MHPU010064392023,11/11/2023,25/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
411,03/11/2023,1/24/2023,MHPU010258492022,08/09/2023,29/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
412,08/02/2023,3/12/2023,MHPU010258492022,17/01/2024,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
413,28/04/2023,10/28/2023,MHPU010170062023,01/11/2023,16/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
414,09/07/2023,3/22/2023,MHPU010043232023,30/07/2024,13/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
415,31/10/2023,9/6/2023,MHPU010074592023,18/04/2024,02/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
416,08/04/2023,7/11/2023,MHPU010060312023,17/02/2024,11/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
417,24/09/2023,12/13/2023,MHPU010074592023,09/04/2023,23/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
418,06/06/2023,9/8/2023,MHPU010176002023,11/10/2023,19/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
419,25/03/2023,7/5/2023,MHPU010060312023,31/01/2024,24/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
420,13/08/2023,10/18/2023,MHPU010258492022,24/02/2023,24/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
421,07/10/2023,1/22/2023,MHPU010063022023,26/08/2024,01/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,166
422,27/06/2023,4/30/2023,MHPU010063022023,14/03/2023,12/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
423,14/07/2023,11/10/2023,MHPU010074592023,14/03/2023,17/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
424,17/03/2023,2/27/2023,MHPU010112742023,01/07/2023,14/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
425,10/10/2023,10/29/2023,MHPU010000532023,27/12/2023,17/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
426,02/10/2023,4/19/2023,MHPU010170062023,20/07/2024,11/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
427,22/04/2023,7/23/2023,MHPU010170062023,14/11/2023,20/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
428,29/10/2023,11/21/2023,MHPU010060312023,25/01/2024,12/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
429,11/09/2023,2/23/2023,MHPU010258492022,03/04/2023,05/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
430,07/04/2023,6/19/2023,MHPU010112742023,22/03/2023,25/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
431,18/11/2023,3/5/2023,MHPU010135842023,21/04/2023,29/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
432,22/05/2023,12/16/2023,MHPU010086342023,08/06/2023,26/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
433,08/08/2023,6/19/2023,MHPU010135842023,21/07/2024,04/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
434,27/05/2023,5/13/2023,MHPU010043232023,23/01/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
435,05/05/2023,12/18/2023,MHPU010000532023,24/05/2023,23/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
436,21/04/2023,11/17/2023,MHPU010000532023,07/03/2024,16/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
437,15/01/2023,6/5/2023,MHPU010135842023,11/04/2024,11/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
438,07/04/2023,5/4/2023,MHPU010155972023,26/07/2024,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
439,06/06/2023,10/25/2023,MHPU010155972023,07/08/2023,08/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
440,21/05/2023,10/30/2023,MHPU010060312023,12/05/2024,04/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
441,28/08/2023,10/25/2023,MHPU010135842023,17/05/2023,17/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
442,02/05/2023,3/30/2023,MHPU010170062023,12/01/2023,12/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
443,08/08/2023,2/24/2023,MHPU010060312023,17/10/2023,09/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
444,19/12/2023,11/24/2023,MHPU010101462023,15/04/2024,05/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
445,28/02/2023,10/29/2023,MHPU010064392023,03/06/2024,13/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
446,23/08/2023,9/6/2023,MHPU010064392023,04/10/2023,28/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
447,16/04/2023,10/7/2023,MHPU010135842023,10/03/2023,07/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
448,24/04/2023,7/17/2023,MHPU010043232023,23/02/2023,03/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
449,09/04/2023,2/1/2023,MHPU010043232023,16/08/2023,26/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
450,21/06/2023,1/3/2023,MHPU010086342023,17/06/2023,15/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
451,07/10/2023,11/13/2023,MHPU010074592023,31/07/2023,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
452,04/03/2023,3/8/2023,MHPU010170062023,04/10/2023,24/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
453,11/07/2023,8/13/2023,MHPU010176002023,14/08/2023,21/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
454,17/01/2023,9/28/2023,MHPU010043232023,18/03/2023,23/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
455,28/12/2023,6/27/2023,MHPU010086342023,19/02/2024,29/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
456,20/01/2023,2/14/2023,MHPU010086342023,23/12/2023,07/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
457,03/09/2023,12/14/2023,MHPU010063022023,13/06/2023,04/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
458,15/04/2023,5/10/2023,MHPU010101462023,16/07/2024,10/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
459,25/08/2023,8/3/2023,MHPU010176002023,26/04/2024,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
460,11/10/2023,6/5/2023,MHPU010086342023,27/05/2024,19/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
461,09/10/2023,4/12/2023,MHPU010043232023,05/03/2023,29/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
462,17/10/2023,12/17/2023,MHPU010064392023,20/12/2023,12/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
463,17/12/2023,11/25/2023,MHPU010074592023,24/06/2023,22/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
464,03/06/2023,11/18/2023,MHPU010043232023,31/08/2024,31/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
465,07/01/2023,3/7/2023,MHPU010258492022,28/07/2024,18/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
